customer_id,age,job,marital,education,default,balance,housing,loan,contact_id
60,40,self-employed,married,tertiary,no,642,no,no,37749
61,39,blue-collar,single,primary,no,24277,no,no,1248
62,35,management,married,tertiary,no,0,no,no,22641
63,30,admin.,single,secondary,no,-36,no,no,15081
64,34,management,married,tertiary,no,0,no,no,37979
65,49,technician,divorced,secondary,no,265,yes,no,33908
66,54,technician,married,unknown,no,240,yes,no,11755
67,46,services,married,tertiary,no,2520,yes,no,5771
68,34,technician,married,tertiary,no,100,no,no,27759
69,51,management,married,tertiary,no,8304,no,no,42684
70,32,technician,married,secondary,no,484,yes,no,43813
71,44,self-employed,married,tertiary,no,134,no,no,32468
72,34,management,married,tertiary,no,362,yes,no,38942
73,38,unemployed,single,secondary,no,7159,no,no,19402
74,42,admin.,single,tertiary,no,519,yes,no,672
75,51,admin.,married,secondary,no,227,no,no,83
76,43,housemaid,married,tertiary,no,0,no,no,27164
77,54,blue-collar,divorced,primary,no,4401,no,no,861
78,44,blue-collar,married,secondary,no,594,no,no,35866
79,46,admin.,married,secondary,no,196,yes,no,14953
80,45,management,divorced,tertiary,no,335,no,no,13033
81,46,admin.,married,secondary,no,979,no,no,31207
82,55,services,married,unknown,no,2944,no,no,13736
83,43,blue-collar,married,primary,no,197,yes,no,24657
84,46,services,married,secondary,no,22,yes,no,1303
85,75,retired,married,primary,no,1765,no,no,28524
86,58,blue-collar,married,secondary,no,72,no,no,3040
87,38,blue-collar,single,primary,no,350,yes,no,43477
88,42,admin.,married,secondary,no,-728,yes,no,15389
89,48,technician,married,secondary,no,42,yes,yes,16115
90,49,technician,married,secondary,no,2765,no,no,32907
91,53,blue-collar,married,secondary,no,1103,yes,yes,33335
92,49,services,married,secondary,no,254,yes,no,7300
93,34,admin.,single,secondary,no,296,no,no,18947
94,60,retired,married,secondary,no,1853,no,no,17680
95,40,technician,single,tertiary,no,1646,yes,no,10181
96,57,admin.,married,unknown,no,0,yes,no,4446
97,36,technician,married,secondary,no,1038,yes,no,27892
98,55,retired,married,secondary,no,1504,yes,yes,43517
99,48,management,single,tertiary,no,31,no,yes,43721
100,45,management,married,tertiary,no,1493,no,no,27775
101,43,blue-collar,married,secondary,no,545,yes,no,43531
102,41,technician,married,tertiary,no,63,no,no,13823
103,36,admin.,married,secondary,no,4785,no,yes,8510
104,50,management,married,unknown,no,5043,yes,yes,11225
105,57,retired,married,secondary,no,1230,no,no,44146
106,44,services,married,secondary,no,0,no,no,34305
107,43,blue-collar,married,primary,no,0,no,no,11738
108,39,technician,single,secondary,no,0,no,no,33060
109,58,unemployed,married,secondary,no,3867,yes,no,38448
110,35,management,married,tertiary,no,106,no,yes,15701
111,43,services,married,secondary,no,278,yes,no,11604
112,59,housemaid,married,primary,no,5,no,yes,38806
113,50,management,married,tertiary,no,2479,no,no,15322
114,36,unemployed,married,secondary,no,352,yes,no,36142
115,46,technician,married,unknown,no,3308,no,no,2712
116,26,services,single,tertiary,no,0,no,yes,21730
117,50,management,married,tertiary,no,2629,yes,no,12994
118,41,entrepreneur,married,secondary,no,2959,yes,no,15581
119,38,technician,married,secondary,no,0,yes,no,12670
120,42,blue-collar,married,primary,no,792,yes,yes,664
121,47,blue-collar,married,primary,no,-127,yes,no,25015
122,28,admin.,single,secondary,no,649,yes,no,24925
123,35,technician,single,secondary,no,2496,yes,no,1682
124,43,management,single,tertiary,no,1696,yes,no,692
125,34,management,single,tertiary,no,0,no,no,22464
126,52,unemployed,married,secondary,no,94,no,no,44813
127,46,blue-collar,married,unknown,no,842,yes,no,6529
128,31,self-employed,single,secondary,no,0,no,yes,17105
129,33,management,single,tertiary,no,2206,yes,no,6217
130,24,admin.,single,secondary,no,120,yes,no,22606
131,23,admin.,single,tertiary,no,314,no,yes,40496
132,33,services,married,secondary,no,293,yes,no,10031
133,46,self-employed,married,tertiary,no,137,yes,yes,19261
134,32,unemployed,married,tertiary,no,1364,no,no,16276
135,59,retired,married,secondary,no,374,no,no,27922
136,60,retired,married,secondary,no,0,no,no,2821
137,56,services,married,tertiary,no,3480,no,no,24342
138,30,technician,married,secondary,no,-1,yes,no,6840
139,55,blue-collar,married,unknown,no,23,no,no,19221
140,39,management,married,tertiary,no,53,yes,no,31265
141,80,retired,married,unknown,no,355,no,no,13129
142,42,blue-collar,married,primary,no,875,yes,no,30312
143,60,blue-collar,married,primary,no,674,yes,no,43466
144,52,admin.,single,secondary,no,-346,yes,yes,6094
145,46,management,married,tertiary,no,0,yes,no,44555
146,42,management,married,tertiary,no,1680,yes,no,16307
147,32,unemployed,single,primary,no,1429,no,no,35676
148,72,retired,single,tertiary,no,1285,no,no,18844
149,52,blue-collar,married,primary,no,994,no,no,1387
150,25,blue-collar,single,secondary,no,352,yes,no,27179
151,44,housemaid,married,secondary,no,281,yes,no,27092
152,36,blue-collar,single,primary,no,3214,yes,no,38962
153,45,housemaid,married,secondary,no,0,no,no,15800
154,54,technician,divorced,secondary,no,258,no,no,23700
155,27,services,single,secondary,no,-266,no,yes,12817
156,51,services,divorced,secondary,no,65,no,yes,33910
157,30,management,single,tertiary,no,220,yes,no,40375
158,60,retired,married,primary,no,458,yes,no,27132
159,38,technician,married,secondary,no,625,yes,no,44217
160,28,blue-collar,single,secondary,no,-267,yes,no,12772
161,29,admin.,divorced,secondary,no,2,no,yes,5578
162,33,management,divorced,tertiary,no,1,yes,no,29606
163,54,management,married,tertiary,no,446,no,no,9751
164,37,self-employed,married,secondary,no,1633,no,no,41108
165,66,technician,married,secondary,no,0,no,no,6546
166,55,retired,married,tertiary,no,357,yes,no,28526
167,63,admin.,married,secondary,no,0,yes,no,43647
168,43,management,married,primary,no,98,no,no,40041
169,30,technician,single,secondary,no,359,yes,no,30955
170,49,technician,divorced,secondary,no,-403,no,yes,31699
171,37,management,married,tertiary,no,751,yes,no,41619
172,35,management,married,secondary,no,724,yes,no,32307
173,44,management,married,tertiary,no,10950,yes,no,28810
174,39,admin.,married,secondary,no,159,no,no,4525
175,46,admin.,single,secondary,no,-136,yes,no,26467
176,45,blue-collar,married,primary,no,665,no,no,13922
177,32,technician,married,secondary,no,-360,yes,no,31528
178,35,blue-collar,single,secondary,no,341,no,yes,39808
179,28,blue-collar,married,secondary,no,1137,no,no,26887
180,53,technician,divorced,unknown,no,629,yes,no,14611
181,53,blue-collar,divorced,secondary,no,517,yes,no,32192
182,33,admin.,single,secondary,no,0,yes,no,19712
183,34,services,single,secondary,no,528,yes,no,4659
184,39,management,married,secondary,no,1072,yes,no,12108
185,33,blue-collar,single,secondary,no,1211,yes,no,14084
186,53,admin.,divorced,secondary,no,592,yes,no,1776
187,51,admin.,divorced,secondary,no,2717,no,no,18963
188,35,blue-collar,married,secondary,no,21,yes,no,33370
189,38,technician,single,secondary,no,1685,yes,no,21220
190,33,technician,single,secondary,no,220,yes,no,26867
191,45,management,divorced,tertiary,no,854,no,yes,38706
192,22,student,single,secondary,no,4132,no,no,38553
193,57,unemployed,divorced,secondary,no,1088,no,no,28419
194,36,management,married,tertiary,no,1790,yes,no,34535
195,32,management,single,tertiary,no,2667,yes,no,15450
196,33,blue-collar,single,secondary,no,17,yes,no,28202
197,35,entrepreneur,married,tertiary,no,129,yes,no,31506
198,55,entrepreneur,divorced,secondary,no,1553,no,no,9101
199,35,self-employed,married,secondary,no,0,yes,no,9980
200,38,admin.,divorced,secondary,no,19,yes,no,37560
201,58,housemaid,married,primary,no,4605,no,no,8913
202,34,admin.,single,secondary,no,528,no,no,34332
203,51,technician,married,unknown,no,425,yes,no,36678
204,36,blue-collar,married,secondary,no,3420,yes,no,16784
205,38,management,divorced,secondary,no,257,yes,no,34524
206,29,admin.,divorced,secondary,no,120,no,yes,41287
207,35,admin.,married,secondary,no,-521,no,yes,8343
208,25,blue-collar,single,primary,no,-289,yes,no,12617
209,35,admin.,married,secondary,no,0,yes,no,42662
210,37,management,single,tertiary,no,-70,no,yes,43026
211,35,housemaid,married,primary,no,77,no,no,26271
212,38,management,divorced,tertiary,no,4692,yes,no,26011
213,27,technician,single,secondary,no,430,yes,yes,1049
214,35,services,married,secondary,no,102,yes,no,7170
215,34,technician,single,secondary,no,-329,yes,no,43075
216,29,blue-collar,single,secondary,no,-61,no,no,25100
217,57,management,divorced,tertiary,no,8897,yes,no,43141
218,52,technician,married,secondary,no,526,no,yes,4722
219,27,admin.,single,secondary,no,125,no,no,29358
220,27,blue-collar,single,secondary,no,535,no,no,10439
221,27,admin.,married,secondary,no,31,yes,yes,24919
222,37,admin.,married,tertiary,no,801,no,no,17287
223,37,technician,married,secondary,no,480,no,no,1765
224,39,blue-collar,single,primary,no,0,yes,yes,39750
225,52,blue-collar,married,secondary,no,289,yes,no,6236
226,26,services,single,secondary,no,50,yes,no,34128
227,39,management,married,tertiary,no,198,yes,no,1899
228,56,retired,married,tertiary,no,89,no,no,27682
229,34,technician,divorced,primary,no,3744,yes,no,32999
230,45,technician,married,secondary,no,3395,yes,no,26595
231,40,services,single,secondary,no,4126,no,no,22304
232,49,services,married,secondary,no,1122,no,no,33287
233,53,entrepreneur,married,unknown,no,28,no,no,40996
234,32,management,married,tertiary,no,134,no,yes,44524
235,30,entrepreneur,single,secondary,no,265,yes,yes,20443
236,58,blue-collar,married,unknown,no,2516,yes,no,37137
237,41,admin.,married,secondary,no,920,yes,yes,20889
238,81,retired,divorced,unknown,no,9224,no,no,44470
239,26,blue-collar,married,secondary,no,246,yes,no,17090
240,29,admin.,single,secondary,no,788,yes,no,44704
241,41,blue-collar,married,secondary,no,2852,yes,no,34385
242,33,housemaid,single,primary,no,39,yes,no,4254
243,43,management,divorced,tertiary,no,1,yes,yes,21297
244,44,services,married,secondary,no,634,yes,no,24711
245,54,blue-collar,divorced,secondary,no,0,yes,yes,29200
246,30,technician,single,secondary,no,57,no,no,30893
247,37,technician,married,secondary,yes,693,no,no,31695
248,27,student,single,tertiary,no,1390,no,no,7905
249,47,management,married,tertiary,no,2716,no,no,7431
250,43,technician,single,secondary,no,145,no,no,16019
251,49,blue-collar,married,secondary,no,3677,yes,no,3969
252,54,management,married,tertiary,no,1331,no,no,44383
253,60,retired,divorced,tertiary,no,439,no,yes,44685
254,35,self-employed,married,secondary,no,734,no,yes,5571
255,36,admin.,divorced,secondary,no,496,no,no,17350
256,40,technician,married,secondary,no,372,yes,no,12560
257,33,blue-collar,single,tertiary,no,350,yes,no,14235
258,39,technician,single,tertiary,no,2617,yes,no,28119
259,51,blue-collar,married,secondary,no,548,no,no,20618
260,53,entrepreneur,married,tertiary,no,420,yes,no,3027
261,36,admin.,single,secondary,no,268,no,yes,25847
262,36,technician,single,tertiary,no,670,yes,no,10845
263,42,blue-collar,married,secondary,no,0,yes,no,7240
264,55,technician,married,secondary,no,0,yes,yes,33570
265,30,management,single,tertiary,no,59,yes,yes,4086
266,40,blue-collar,married,primary,no,3462,yes,no,35113
267,52,technician,married,secondary,no,2095,yes,yes,1052
268,50,blue-collar,married,secondary,no,606,yes,no,42668
269,58,technician,divorced,secondary,no,469,no,no,43706
270,31,blue-collar,married,secondary,no,33,no,no,14290
271,31,management,married,tertiary,no,557,yes,no,15009
272,54,services,married,unknown,no,0,yes,no,13512
273,32,entrepreneur,single,primary,no,1770,no,yes,24447
274,42,self-employed,married,tertiary,no,-426,yes,no,40678
275,33,blue-collar,married,secondary,no,1924,yes,yes,21154
276,59,management,single,tertiary,no,68,yes,no,13525
277,44,self-employed,married,secondary,no,304,yes,no,2754
278,48,entrepreneur,married,tertiary,no,981,yes,no,44241
279,54,management,divorced,tertiary,no,487,yes,no,34476
280,39,admin.,married,secondary,no,7711,yes,no,6802
281,39,technician,married,secondary,no,3050,yes,no,23258
282,54,management,married,tertiary,no,6525,yes,no,21132
283,42,entrepreneur,single,unknown,no,33,no,no,7712
284,33,management,single,tertiary,no,2485,yes,no,44178
285,43,admin.,single,secondary,no,386,no,no,26638
286,49,technician,married,primary,no,1415,yes,no,43073
287,25,management,single,tertiary,no,808,no,no,22410
288,33,technician,single,secondary,no,1769,yes,no,42130
289,47,blue-collar,married,secondary,no,473,yes,no,45065
290,44,blue-collar,married,secondary,no,0,no,no,23732
291,48,unemployed,married,primary,no,0,no,no,15587
292,35,services,single,secondary,no,35,yes,no,34402
293,40,blue-collar,married,primary,no,481,yes,no,24443
294,38,technician,married,tertiary,no,-3,no,no,14709
295,52,admin.,married,tertiary,no,17,no,no,40389
296,35,technician,single,tertiary,no,303,no,no,930
297,31,technician,married,secondary,no,585,yes,no,35986
298,60,management,married,tertiary,no,759,no,no,5985
299,37,entrepreneur,married,tertiary,no,227,yes,no,12351
300,39,services,divorced,secondary,no,-388,yes,no,16898
301,28,services,single,secondary,no,0,no,yes,23540
302,57,unemployed,married,secondary,no,468,yes,no,12259
303,40,management,married,tertiary,no,-37,no,yes,36201
304,36,technician,divorced,secondary,no,1,no,no,39388
305,35,admin.,single,secondary,no,203,yes,no,20332
306,59,management,divorced,tertiary,no,258,yes,no,32754
307,37,entrepreneur,married,tertiary,no,342,yes,no,36388
308,33,blue-collar,single,primary,no,92,yes,no,32397
309,35,admin.,married,secondary,no,269,yes,yes,41037
310,32,management,married,tertiary,no,3158,no,yes,1051
311,60,retired,married,tertiary,no,846,no,no,15508
312,50,housemaid,married,secondary,no,388,no,no,18145
313,52,services,divorced,primary,no,130,yes,no,37473
314,28,admin.,single,secondary,no,707,yes,no,3304
315,34,management,divorced,tertiary,no,13204,yes,yes,18181
316,40,housemaid,married,secondary,no,0,no,no,19977
317,47,admin.,divorced,primary,no,357,yes,yes,3056
318,28,admin.,single,tertiary,no,1773,yes,no,17718
319,48,housemaid,married,primary,no,5908,no,no,14931
320,60,services,married,tertiary,no,4256,yes,no,5657
321,44,admin.,married,secondary,no,266,yes,no,1202
322,39,blue-collar,married,unknown,no,1096,no,no,11933
323,44,blue-collar,divorced,secondary,no,-184,yes,no,10884
324,35,services,married,secondary,no,128,yes,no,7859
325,35,management,single,tertiary,no,68,no,no,34501
326,43,management,married,tertiary,no,228,no,no,8615
327,31,blue-collar,single,secondary,no,196,yes,no,43157
328,35,blue-collar,married,tertiary,no,199,yes,yes,20987
329,43,entrepreneur,married,tertiary,no,5506,no,yes,44621
330,37,admin.,married,secondary,no,766,yes,no,37320
331,30,technician,single,secondary,no,1359,yes,no,32290
332,39,management,married,tertiary,no,272,yes,no,11107
333,35,services,married,unknown,no,618,no,no,38065
334,47,blue-collar,married,secondary,no,1096,yes,yes,3002
335,53,blue-collar,married,secondary,no,-162,yes,no,18022
336,35,entrepreneur,single,tertiary,no,-15,yes,no,26052
337,35,technician,married,secondary,yes,-1322,yes,no,27106
338,35,services,married,tertiary,no,6,yes,yes,836
339,43,admin.,divorced,tertiary,no,1440,yes,yes,16880
340,37,blue-collar,married,secondary,yes,1147,yes,yes,16336
341,39,blue-collar,married,secondary,no,285,yes,yes,11261
342,41,technician,single,secondary,no,879,no,yes,41715
343,45,management,divorced,tertiary,no,6200,no,no,23385
344,37,admin.,single,secondary,no,796,yes,no,11413
345,45,technician,married,secondary,no,1841,yes,no,25878
346,39,blue-collar,single,primary,no,446,yes,no,3060
347,58,unemployed,divorced,secondary,no,729,no,yes,19647
348,40,entrepreneur,divorced,secondary,no,1247,yes,no,40641
349,50,technician,single,tertiary,no,339,yes,no,22873
350,30,management,single,tertiary,no,234,yes,no,30007
351,59,retired,divorced,tertiary,no,3444,no,no,12506
352,30,technician,married,secondary,no,289,yes,no,3548
353,34,services,single,secondary,no,267,no,no,22651
354,35,admin.,single,tertiary,no,62,no,yes,3625
355,33,blue-collar,divorced,secondary,no,474,no,no,13268
356,36,management,married,tertiary,no,6641,no,no,5772
357,26,admin.,single,secondary,no,125,no,no,9697
358,44,technician,married,secondary,no,196,no,no,4568
359,36,blue-collar,single,tertiary,no,3649,yes,no,17844
360,40,services,single,secondary,no,573,yes,no,12538
361,31,admin.,married,secondary,no,8784,yes,no,28063
362,28,unemployed,single,tertiary,no,7,no,no,42430
363,58,technician,married,tertiary,no,0,no,no,40593
364,33,management,single,tertiary,no,1097,no,yes,23862
365,36,blue-collar,married,secondary,no,561,yes,no,7
366,42,management,single,tertiary,no,0,yes,yes,16167
367,33,entrepreneur,married,secondary,no,1847,yes,no,38051
368,57,retired,married,tertiary,no,34,no,yes,6781
369,32,services,single,secondary,no,459,yes,no,3778
370,46,technician,divorced,secondary,no,435,yes,no,37691
371,47,admin.,married,secondary,no,292,yes,no,31752
372,37,management,single,tertiary,no,1093,yes,no,24800
373,49,technician,divorced,secondary,no,-54,yes,yes,22230
374,27,management,divorced,tertiary,no,148,no,no,39111
375,59,management,married,secondary,no,0,no,yes,20122
376,44,blue-collar,married,primary,no,-298,yes,no,33537
377,46,blue-collar,married,secondary,no,640,yes,no,22737
378,40,management,single,tertiary,no,0,yes,no,43556
379,52,technician,married,secondary,no,1064,no,no,22112
380,34,blue-collar,single,unknown,no,129,yes,yes,32740
381,39,management,married,tertiary,no,0,no,no,4127
382,30,management,single,tertiary,no,4889,no,no,34009
383,50,services,married,secondary,no,1321,no,no,42402
384,42,admin.,married,secondary,no,0,yes,no,44965
385,28,blue-collar,married,secondary,no,6,yes,no,37747
386,47,housemaid,single,primary,no,2785,yes,no,24578
387,46,blue-collar,married,primary,no,174,no,yes,27940
388,40,technician,married,secondary,no,2266,no,no,29311
389,29,technician,married,secondary,no,132,yes,yes,20027
390,40,blue-collar,married,secondary,no,0,yes,yes,10263
391,36,blue-collar,married,secondary,no,537,no,yes,6702
392,33,technician,single,secondary,no,541,no,yes,37814
393,38,services,married,secondary,no,0,yes,no,33418
394,45,admin.,single,secondary,no,-198,yes,no,15704
395,29,services,married,primary,no,549,yes,no,2808
396,29,technician,married,tertiary,no,197,yes,no,41127
397,50,management,married,tertiary,no,719,no,yes,44568
398,45,self-employed,married,tertiary,no,0,yes,yes,34847
399,45,technician,single,tertiary,no,591,yes,no,5991
400,59,management,divorced,tertiary,no,0,no,no,29328
401,43,management,single,tertiary,no,5658,no,no,36282
402,49,technician,married,secondary,no,305,no,no,26530
403,27,admin.,single,secondary,no,3,yes,no,20358
404,60,admin.,divorced,secondary,no,0,no,yes,40859
405,23,blue-collar,single,secondary,no,5145,yes,no,27601
406,38,blue-collar,divorced,secondary,no,614,yes,no,29161
407,60,retired,divorced,tertiary,no,473,no,no,11229
408,55,management,married,tertiary,no,16786,no,no,8895
409,44,management,married,tertiary,no,13893,no,no,38099
410,36,blue-collar,single,secondary,no,5396,yes,no,38995
411,43,blue-collar,married,secondary,no,232,yes,no,44573
412,30,self-employed,single,tertiary,no,2593,no,no,26001
413,26,admin.,single,secondary,no,802,no,no,12507
414,59,management,married,tertiary,no,3165,yes,no,6668
415,33,technician,divorced,secondary,no,7,yes,yes,25611
416,33,blue-collar,married,primary,no,332,yes,no,36579
417,32,technician,married,secondary,no,255,no,yes,34017
418,34,student,single,unknown,no,1281,no,no,30108
419,37,blue-collar,married,secondary,no,489,yes,no,9433
420,33,technician,married,secondary,no,0,no,no,33435
421,37,services,married,secondary,no,780,yes,no,24295
422,33,technician,married,secondary,no,2147,no,no,44656
423,35,technician,married,secondary,no,14,yes,no,11520
424,48,blue-collar,married,primary,no,1203,no,no,25152
425,38,management,married,tertiary,no,569,yes,no,24148
426,50,technician,married,tertiary,no,2611,no,no,26281
427,33,technician,married,secondary,no,221,yes,no,25013
428,39,admin.,married,primary,no,510,yes,no,7073
429,38,blue-collar,single,primary,no,419,yes,no,24175
430,35,management,single,tertiary,no,1902,no,no,43445
431,39,admin.,married,secondary,no,2019,yes,no,16225
432,31,technician,single,tertiary,no,4561,yes,no,11534
433,24,student,single,secondary,no,139,no,no,7458
434,53,technician,married,secondary,no,56,yes,yes,13278
435,53,retired,married,secondary,no,352,yes,no,22007
436,51,blue-collar,married,primary,no,176,no,yes,44493
437,63,housemaid,married,primary,no,91,no,no,42317
438,58,management,married,tertiary,no,44,yes,no,39983
439,50,management,married,tertiary,no,1158,yes,no,32615
440,59,retired,married,unknown,no,140,no,yes,39325
441,60,blue-collar,married,primary,no,5,no,no,32718
442,30,student,single,secondary,no,25,no,no,41154
443,36,blue-collar,married,primary,no,2079,yes,yes,37959
444,37,admin.,single,secondary,no,1003,no,no,24329
445,64,management,married,tertiary,no,6251,no,no,44911
446,31,student,married,secondary,no,200,yes,no,28729
447,49,blue-collar,married,secondary,no,165,no,yes,26733
448,61,technician,married,primary,no,6384,no,no,20689
449,39,management,married,primary,no,3760,no,yes,38651
450,48,management,married,tertiary,yes,-4,no,no,3718
451,44,unemployed,married,primary,no,1,no,no,42756
452,44,management,divorced,tertiary,no,3,no,no,8454
453,57,retired,married,secondary,no,-133,no,no,28159
454,37,self-employed,married,secondary,no,1549,yes,no,26732
455,51,management,married,tertiary,no,15904,no,no,15178
456,38,blue-collar,married,primary,no,168,yes,yes,40948
457,56,technician,married,tertiary,no,1062,no,no,26557
458,38,technician,married,tertiary,no,-267,no,no,36355
459,32,blue-collar,single,primary,no,78,yes,no,37205
460,48,blue-collar,married,primary,no,3837,no,yes,43636
461,41,management,married,tertiary,no,0,no,yes,30207
462,55,management,divorced,tertiary,no,277,no,no,12291
463,43,blue-collar,divorced,primary,no,515,yes,no,10718
464,50,retired,married,primary,no,1098,no,no,28016
465,27,blue-collar,married,primary,no,106,yes,no,31117
466,33,management,single,tertiary,no,3406,yes,no,4520
467,25,student,single,secondary,no,715,no,no,40004
468,33,services,married,secondary,no,1076,no,no,12656
469,28,self-employed,single,tertiary,no,222,no,yes,26257
470,31,services,single,secondary,no,481,yes,no,5696
471,36,management,single,tertiary,no,479,no,no,20075
472,50,management,single,unknown,no,1277,no,no,28090
473,53,technician,divorced,secondary,no,522,yes,no,9120
474,34,technician,married,secondary,no,114,yes,yes,40689
475,41,management,married,primary,no,469,yes,yes,15061
476,58,retired,married,secondary,no,150,yes,no,12304
477,52,admin.,married,primary,no,448,yes,no,17469
478,30,technician,single,secondary,no,1352,yes,no,14722
479,46,technician,married,secondary,no,-59,yes,yes,44983
480,35,blue-collar,married,primary,no,914,yes,no,5422
481,25,technician,single,secondary,no,276,yes,no,31560
482,36,blue-collar,married,secondary,no,342,yes,no,19412
483,25,admin.,married,secondary,no,242,yes,no,24543
484,30,blue-collar,married,secondary,no,501,yes,yes,10796
485,34,technician,single,secondary,no,2583,no,no,9654
486,37,management,married,tertiary,no,2205,no,no,19338
487,34,self-employed,married,tertiary,no,442,yes,no,17592
488,30,blue-collar,single,secondary,no,573,yes,no,5371
489,41,technician,married,tertiary,no,532,yes,no,41747
490,46,technician,married,secondary,no,49,yes,no,11747
491,29,technician,single,tertiary,no,0,yes,no,16791
492,34,blue-collar,married,secondary,no,243,yes,no,19677
493,60,retired,married,primary,no,600,no,no,28141
494,54,technician,divorced,secondary,no,-369,no,no,3391
495,29,management,married,tertiary,no,4050,yes,no,2083
496,29,blue-collar,single,secondary,no,322,no,no,37639
497,55,management,married,primary,no,3293,no,no,15889
498,30,management,single,tertiary,no,1636,no,no,23542
499,42,entrepreneur,married,secondary,no,2959,yes,no,10396
500,50,blue-collar,divorced,primary,no,-333,no,yes,29752
501,55,services,divorced,primary,no,653,no,no,249
502,48,self-employed,married,secondary,no,91,no,no,14376
503,35,management,divorced,tertiary,no,500,yes,no,21652
504,29,unemployed,married,secondary,no,-25,yes,no,18907
505,36,admin.,married,secondary,no,-206,yes,no,3162
506,59,management,married,tertiary,no,1831,no,no,26144
507,40,management,married,tertiary,no,132,yes,yes,3403
508,59,management,single,tertiary,no,911,no,yes,33656
509,40,blue-collar,single,secondary,no,1066,yes,no,18801
510,67,retired,married,unknown,no,714,no,no,29637
511,28,services,single,secondary,no,805,yes,no,16122
512,44,technician,divorced,primary,no,538,no,no,29497
513,50,unemployed,married,secondary,no,3674,yes,no,10398
514,45,blue-collar,married,primary,no,803,yes,no,1984
515,24,admin.,single,secondary,no,66,yes,no,31503
516,41,technician,single,secondary,no,134,no,yes,35598
517,40,technician,married,tertiary,no,0,yes,no,21834
518,34,student,single,secondary,no,188,yes,no,43893
519,31,blue-collar,single,secondary,no,-571,yes,no,22806
520,52,technician,divorced,secondary,no,1005,yes,no,3333
521,40,housemaid,divorced,primary,no,-21,yes,no,27141
522,32,admin.,single,secondary,no,89,yes,yes,13046
523,47,blue-collar,married,secondary,no,125,no,no,31758
524,37,services,married,secondary,no,144,yes,no,4298
525,55,admin.,married,secondary,no,0,no,no,66
526,54,services,married,secondary,no,2061,yes,no,1813
527,38,blue-collar,married,secondary,no,2008,yes,no,42011
528,31,blue-collar,married,secondary,no,191,yes,no,42487
529,73,retired,married,secondary,no,250,no,no,44507
530,27,student,single,secondary,no,2245,no,no,25255
